Número de Orden,SKU,Descripción SKU,Cantidad,Largo_cm,Ancho_cm,Alto_cm,Volumen_unitario_m3,Peso_unitario_kg,Volumen_total_m3,Peso_total_kg
ORD-CL-202612-000001,SKU-00535,Taladro eléctrico,10,37.8,29.0,9.6,0.010524,2.553,0.10524,25.53
ORD-CL-202612-000001,SKU-00664,Rodillo pintura,4,28.5,24.9,7.8,0.005535,0.398,0.02214,1.592
ORD-CL-202612-000001,SKU-00469,Monitor 24 pulgadas,1,59.1,46.8,15.4,0.042595,5.133,0.042595,5.133
ORD-CL-202612-000001,SKU-00583,Sierra circular,2,45.6,33.6,14.8,0.022676,5.863,0.045352,11.726
ORD-CL-202612-000001,SKU-00097,Cable eléctrico 10m,3,23.9,25.5,7.9,0.004815,1.208,0.014445,3.624
ORD-CL-202612-000001,SKU-00072,Reloj pared,3,33.9,34.4,8.4,0.009796,1.189,0.029388,3.567
ORD-CL-202612-000001,SKU-00356,Router WiFi,20,24.1,20.1,7.7,0.00373,0.779,0.0746,15.58
ORD-CL-202612-000001,SKU-00129,Smartphone caja,2,17.9,9.7,5.0,0.000868,0.654,0.001736,1.308
ORD-CL-202612-000001,SKU-00481,Escalera aluminio 4 peldaños,5,124.4,45.6,15.5,0.087926,7.665,0.43963,38.325
ORD-CL-202612-000001,SKU-00084,Sierra circular,2,43.2,34.4,15.2,0.022588,5.382,0.045176,10.764
ORD-CL-202612-000001,SKU-00841,Lámpara mesa,3,36.3,24.3,25.1,0.02214,2.271,0.06642,6.813
ORD-CL-202612-000001,SKU-00099,Smartphone caja,5,18.1,10.1,5.0,0.000914,0.597,0.00457,2.985
ORD-CL-202612-000001,SKU-00898,Reloj pared,3,35.7,35.1,8.0,0.010025,1.08,0.030075,3.24
ORD-CL-202612-000001,SKU-00837,Caja herramientas plástica,4,48.0,31.5,24.9,0.037649,3.358,0.150596,13.432
ORD-CL-202612-000001,SKU-00506,Mouse óptico,2,14.6,10.3,4.9,0.000737,0.211,0.001474,0.422
ORD-CL-202612-000001,SKU-00391,Router WiFi,1,25.7,20.9,7.8,0.00419,0.679,0.00419,0.679
ORD-CL-202612-000001,SKU-00373,Alicate universal,20,22.5,7.3,2.9,0.000476,0.369,0.00952,7.38
ORD-CL-202612-000001,SKU-00762,Lámpara mesa,4,34.3,25.6,24.8,0.021776,2.338,0.087104,9.352
ORD-CL-202612-000001,SKU-00337,Sierra circular,1,44.8,36.5,14.8,0.024201,5.433,0.024201,5.433
ORD-CL-202612-000001,SKU-00328,Parlante Bluetooth,3,25.3,12.5,11.4,0.003605,1.011,0.010815,3.033
ORD-CL-202612-000001,SKU-00706,Parlante Bluetooth,4,24.5,12.5,12.3,0.003767,0.872,0.015068,3.488
ORD-CL-202612-000001,SKU-00214,Pintura látex 1L,5,12.4,12.5,14.5,0.002247,1.242,0.011235,6.21
ORD-CL-202612-000001,SKU-00666,Tornillos caja 100u,1,7.9,6.1,4.2,0.000202,0.461,0.000202,0.461
ORD-CL-202612-000001,SKU-00128,Notebook 15 pulgadas,3,39.1,30.7,6.3,0.007562,2.267,0.022686,6.801
ORD-CL-202612-000001,SKU-00302,Alicate universal,4,21.9,6.8,2.9,0.000432,0.372,0.001728,1.488
ORD-CL-202612-000002,SKU-00695,Monitor 24 pulgadas,3,57.2,46.3,14.7,0.038931,4.694,0.116793,14.082
ORD-CL-202612-000002,SKU-00091,Lámpara mesa,1,35.6,24.4,26.1,0.022672,2.358,0.022672,2.358
ORD-CL-202612-000002,SKU-00108,Espejo pared 80x60,5,87.9,67.3,8.2,0.048508,7.282,0.24254,36.41
ORD-CL-202612-000002,SKU-00200,Smartphone caja,5,18.7,10.4,5.1,0.000992,0.656,0.00496,3.28
ORD-CL-202612-000002,SKU-00142,Escalera aluminio 4 peldaños,24,118.1,46.3,15.4,0.084208,7.637,2.020992,183.288
ORD-CL-202612-000002,SKU-00671,Taladro eléctrico,2,38.9,29.2,9.5,0.010791,2.954,0.021582,5.908
