SKU,Descripción SKU,Largo_cm,Ancho_cm,Alto_cm,Volumen_unitario_m3,Peso_unitario_kg,Tipo_embalaje
SKU-00026,Silicona cartucho,23.9,5.2,5.2,0.000646,0.302,A granel
SKU-00090,Lámpara mesa,34.9,26.0,26.1,0.023683,2.365,Caja propia
SKU-00105,Interruptor eléctrico,12.2,8.4,6.3,0.000646,0.163,A granel
SKU-00115,Interruptor eléctrico,11.9,8.2,6.1,0.000595,0.158,A granel
SKU-00143,Estantería modular,100.7,48.4,20.8,0.101377,13.023,Caja propia
SKU-00229,Notebook 15 pulgadas,41.0,29.5,5.8,0.007015,2.002,Caja propia
SKU-00251,Broca acero 10mm,20.8,5.0,2.9,0.000302,0.181,A granel
SKU-00282,Notebook 15 pulgadas,38.1,29.9,5.7,0.006493,2.169,Caja propia
SKU-00559,Lámpara mesa,36.1,24.9,25.1,0.022562,2.379,Caja propia
SKU-00605,Tablet 10 pulgadas,29.0,19.2,6.2,0.003452,0.832,Caja propia
SKU-00655,Alicate universal,22.0,7.2,3.0,0.000475,0.324,A granel
SKU-00693,Alicate universal,21.0,7.0,2.9,0.000426,0.372,A granel
SKU-00755,Pintura látex 4L,20.9,21.0,23.9,0.01049,4.781,Caja propia
SKU-00759,Espejo pared 80x60,87.1,67.2,8.3,0.048581,6.763,Caja propia
SKU-00760,Mouse óptico,14.7,9.6,5.2,0.000734,0.195,Caja propia
