Número de Orden,SKU,Descripción SKU,Cantidad,Largo_cm,Ancho_cm,Alto_cm,Volumen_unitario_m3,Peso_unitario_kg,Volumen_total_m3,Peso_total_kg
ORD-TEST-000001,SKU-00026,Silicona cartucho,3,23.9,5.2,5.2,0.000646,0.302,0.001938,0.906
ORD-TEST-000001,SKU-00105,Interruptor eléctrico,1,12.2,8.4,6.3,0.000646,0.163,0.000646,0.163
ORD-TEST-000001,SKU-00229,Notebook 15 pulgadas,5,41.0,29.5,5.8,0.007015,2.002,0.035075,10.01
ORD-TEST-000002,SKU-00090,Lámpara mesa,2,34.9,26.0,26.1,0.023683,2.365,0.047366,4.73
ORD-TEST-000002,SKU-00143,Estantería modular,4,100.7,48.4,20.8,0.101377,13.023,0.405508,52.092
ORD-TEST-000003,SKU-00115,Interruptor eléctrico,6,11.9,8.2,6.1,0.000595,0.158,0.00357,0.948
ORD-TEST-000003,SKU-00282,Notebook 15 pulgadas,2,38.1,29.9,5.7,0.006493,2.169,0.012986,4.338
ORD-TEST-000003,SKU-00605,Tablet 10 pulgadas,3,29.0,19.2,6.2,0.003452,0.832,0.010356,2.496
ORD-TEST-000004,SKU-00251,Broca acero 10mm,1,20.8,5.0,2.9,0.000302,0.181,0.000302,0.181
ORD-TEST-000004,SKU-00559,Lámpara mesa,10,36.1,24.9,25.1,0.022562,2.379,0.22562,23.79
ORD-TEST-000005,SKU-00655,Alicate universal,2,22.0,7.2,3.0,0.000475,0.324,0.00095,0.648
ORD-TEST-000005,SKU-00755,Pintura látex 4L,3,20.9,21.0,23.9,0.01049,4.781,0.03147,14.343
ORD-TEST-000005,SKU-00760,Mouse óptico,1,14.7,9.6,5.2,0.000734,0.195,0.000734,0.195
