HoraIdx,BeginTime,EndTime,BeginMinute,EndMinute,RatePerHour,KgObjetivoTotalHora,KgEsperadoPorCliente
1,09:00,10:00,540,600,271.981818,448.77,1.65
2,10:00,11:00,600,660,271.981818,448.77,1.65
3,11:00,12:00,660,720,271.981818,448.77,1.65
4,12:00,13:00,720,780,454.636364,750.15,1.65
5,13:00,14:00,780,840,417.787879,689.35,1.65
6,14:00,15:00,840,900,417.787879,689.35,1.65
7,15:00,16:00,900,960,271.981818,448.77,1.65
8,16:00,17:00,960,1020,271.981818,448.77,1.65
9,17:00,18:00,1020,1080,302.721212,499.49,1.65
10,18:00,19:00,1080,1140,879.569697,1451.29,1.65
11,19:00,20:00,1140,1200,858.515152,1416.55,1.65
12,20:00,21:00,1200,1260,278.751515,459.94,1.65
