HoraIdx,FranjaHoraria,HoraInicioMin,HoraFinMin,ProductoIdx,ProductoID,KgObjetivoHora,HoraProductoKey
1,09:00-10:00,540,600,1,Marraqueta,126.19,101
1,09:00-10:00,540,600,2,Hallulla,107.26,102
1,09:00-10:00,540,600,3,Marraqueta_Integral,50.48,103
1,09:00-10:00,540,600,4,Hallulla_Integral,50.48,104
1,09:00-10:00,540,600,5,Pan_Hot_Dog,26.06,105
1,09:00-10:00,540,600,6,Ciabatta,15.13,106
1,09:00-10:00,540,600,7,Baguette,13.24,107
1,09:00-10:00,540,600,8,Dobladita,29.17,108
1,09:00-10:00,540,600,9,Bocado_de_Dama,18.33,109
1,09:00-10:00,540,600,10,Amasado,12.43,110
2,10:00-11:00,600,660,1,Marraqueta,126.19,201
2,10:00-11:00,600,660,2,Hallulla,107.26,202
2,10:00-11:00,600,660,3,Marraqueta_Integral,50.48,203
2,10:00-11:00,600,660,4,Hallulla_Integral,50.48,204
2,10:00-11:00,600,660,5,Pan_Hot_Dog,26.06,205
2,10:00-11:00,600,660,6,Ciabatta,15.13,206
2,10:00-11:00,600,660,7,Baguette,13.24,207
2,10:00-11:00,600,660,8,Dobladita,29.17,208
2,10:00-11:00,600,660,9,Bocado_de_Dama,18.33,209
2,10:00-11:00,600,660,10,Amasado,12.43,210
3,11:00-12:00,660,720,1,Marraqueta,126.19,301
3,11:00-12:00,660,720,2,Hallulla,107.26,302
3,11:00-12:00,660,720,3,Marraqueta_Integral,50.48,303
3,11:00-12:00,660,720,4,Hallulla_Integral,50.48,304
3,11:00-12:00,660,720,5,Pan_Hot_Dog,26.06,305
3,11:00-12:00,660,720,6,Ciabatta,15.13,306
3,11:00-12:00,660,720,7,Baguette,13.24,307
3,11:00-12:00,660,720,8,Dobladita,29.17,308
3,11:00-12:00,660,720,9,Bocado_de_Dama,18.33,309
3,11:00-12:00,660,720,10,Amasado,12.43,310
4,12:00-13:00,720,780,1,Marraqueta,183.33,401
4,12:00-13:00,720,780,2,Hallulla,155.83,402
4,12:00-13:00,720,780,3,Marraqueta_Integral,73.33,403
4,12:00-13:00,720,780,4,Hallulla_Integral,73.33,404
4,12:00-13:00,720,780,5,Pan_Hot_Dog,121.61,405
4,12:00-13:00,720,780,6,Ciabatta,35.31,406
4,12:00-13:00,720,780,7,Baguette,30.9,407
4,12:00-13:00,720,780,8,Dobladita,29.17,408
4,12:00-13:00,720,780,9,Bocado_de_Dama,18.33,409
4,12:00-13:00,720,780,10,Amasado,29.01,410
5,13:00-14:00,780,840,1,Marraqueta,183.33,501
5,13:00-14:00,780,840,2,Hallulla,155.83,502
5,13:00-14:00,780,840,3,Marraqueta_Integral,73.33,503
5,13:00-14:00,780,840,4,Hallulla_Integral,73.33,504
5,13:00-14:00,780,840,5,Pan_Hot_Dog,60.81,505
5,13:00-14:00,780,840,6,Ciabatta,35.31,506
5,13:00-14:00,780,840,7,Baguette,30.9,507
5,13:00-14:00,780,840,8,Dobladita,29.17,508
5,13:00-14:00,780,840,9,Bocado_de_Dama,18.33,509
5,13:00-14:00,780,840,10,Amasado,29.01,510
6,14:00-15:00,840,900,1,Marraqueta,183.33,601
6,14:00-15:00,840,900,2,Hallulla,155.83,602
6,14:00-15:00,840,900,3,Marraqueta_Integral,73.33,603
6,14:00-15:00,840,900,4,Hallulla_Integral,73.33,604
6,14:00-15:00,840,900,5,Pan_Hot_Dog,60.81,605
6,14:00-15:00,840,900,6,Ciabatta,35.31,606
6,14:00-15:00,840,900,7,Baguette,30.9,607
6,14:00-15:00,840,900,8,Dobladita,29.17,608
6,14:00-15:00,840,900,9,Bocado_de_Dama,18.33,609
6,14:00-15:00,840,900,10,Amasado,29.01,610
7,15:00-16:00,900,960,1,Marraqueta,126.19,701
7,15:00-16:00,900,960,2,Hallulla,107.26,702
7,15:00-16:00,900,960,3,Marraqueta_Integral,50.48,703
7,15:00-16:00,900,960,4,Hallulla_Integral,50.48,704
7,15:00-16:00,900,960,5,Pan_Hot_Dog,26.06,705
7,15:00-16:00,900,960,6,Ciabatta,15.13,706
7,15:00-16:00,900,960,7,Baguette,13.24,707
7,15:00-16:00,900,960,8,Dobladita,29.17,708
7,15:00-16:00,900,960,9,Bocado_de_Dama,18.33,709
7,15:00-16:00,900,960,10,Amasado,12.43,710
8,16:00-17:00,960,1020,1,Marraqueta,126.19,801
8,16:00-17:00,960,1020,2,Hallulla,107.26,802
8,16:00-17:00,960,1020,3,Marraqueta_Integral,50.48,803
8,16:00-17:00,960,1020,4,Hallulla_Integral,50.48,804
8,16:00-17:00,960,1020,5,Pan_Hot_Dog,26.06,805
