HoraIdx,FranjaHoraria,HoraInicioMin,HoraFinMin,ProductoIdx,ProductoID,Probabilidad,HoraProductoKey
1,09:00-10:00,540,600,1,Marraqueta,0.26445,101
1,09:00-10:00,540,600,2,Hallulla,0.22478,102
1,09:00-10:00,540,600,3,Marraqueta_Integral,0.12469,103
1,09:00-10:00,540,600,4,Hallulla_Integral,0.11636,104
1,09:00-10:00,540,600,5,Pan_Hot_Dog,0.05461,105
1,09:00-10:00,540,600,6,Ciabatta,0.03737,106
1,09:00-10:00,540,600,7,Baguette,0.03271,107
1,09:00-10:00,540,600,8,Dobladita,0.07204,108
1,09:00-10:00,540,600,9,Bocado_de_Dama,0.04527,109
1,09:00-10:00,540,600,10,Amasado,0.02773,110
2,10:00-11:00,600,660,1,Marraqueta,0.26445,201
2,10:00-11:00,600,660,2,Hallulla,0.22478,202
2,10:00-11:00,600,660,3,Marraqueta_Integral,0.12469,203
2,10:00-11:00,600,660,4,Hallulla_Integral,0.11636,204
2,10:00-11:00,600,660,5,Pan_Hot_Dog,0.05461,205
2,10:00-11:00,600,660,6,Ciabatta,0.03737,206
2,10:00-11:00,600,660,7,Baguette,0.03271,207
2,10:00-11:00,600,660,8,Dobladita,0.07204,208
2,10:00-11:00,600,660,9,Bocado_de_Dama,0.04527,209
2,10:00-11:00,600,660,10,Amasado,0.02773,210
3,11:00-12:00,660,720,1,Marraqueta,0.26445,301
3,11:00-12:00,660,720,2,Hallulla,0.22478,302
3,11:00-12:00,660,720,3,Marraqueta_Integral,0.12469,303
3,11:00-12:00,660,720,4,Hallulla_Integral,0.11636,304
3,11:00-12:00,660,720,5,Pan_Hot_Dog,0.05461,305
3,11:00-12:00,660,720,6,Ciabatta,0.03737,306
3,11:00-12:00,660,720,7,Baguette,0.03271,307
3,11:00-12:00,660,720,8,Dobladita,0.07204,308
3,11:00-12:00,660,720,9,Bocado_de_Dama,0.04527,309
3,11:00-12:00,660,720,10,Amasado,0.02773,310
4,12:00-13:00,720,780,1,Marraqueta,0.23126,401
4,12:00-13:00,720,780,2,Hallulla,0.19657,402
4,12:00-13:00,720,780,3,Marraqueta_Integral,0.10902,403
4,12:00-13:00,720,780,4,Hallulla_Integral,0.10175,404
4,12:00-13:00,720,780,5,Pan_Hot_Dog,0.1534,405
4,12:00-13:00,720,780,6,Ciabatta,0.05249,406
4,12:00-13:00,720,780,7,Baguette,0.04594,407
4,12:00-13:00,720,780,8,Dobladita,0.04336,408
4,12:00-13:00,720,780,9,Bocado_de_Dama,0.02725,409
4,12:00-13:00,720,780,10,Amasado,0.03895,410
5,13:00-14:00,780,840,1,Marraqueta,0.25047,501
5,13:00-14:00,780,840,2,Hallulla,0.21289,502
5,13:00-14:00,780,840,3,Marraqueta_Integral,0.11808,503
5,13:00-14:00,780,840,4,Hallulla_Integral,0.1102,504
5,13:00-14:00,780,840,5,Pan_Hot_Dog,0.08308,505
